Path,Black,White,Ratio
./Rhythm/3xShapes/trapezium_angle_90_3x.png,188814,80781,2.337356556616036
./Rhythm/3xShapes/rectangle_angle_90_3x.png,212445,222654,1.0480547906516982
./Rhythm/3xShapes2/circle_3x.png,142994,139205,1.027218849897633
./Rhythm/3xShapes2/square_3x.png,164126,126577,1.2966494702829108
./Rhythm/3xShapes2/ellipse_angle_90_3x.png,257253,166071,1.549054320140181
./Rhythm/3xShapes2/rectangle_angle_0_3x.png,254822,181267,1.4057826300429752
./Rhythm/3xShapes2/ellipse_angle_0_3x.png,211931,211307,1.0029530493547303
./Rhythm/3xShapes2/trapezium_angle_0_3x.png,180072,89917,2.0026468854610364
./Rhythm/3xShapes2/parallelogram_angle_0_3x.png,159376,110245,1.4456528640754682
./Rhythm/3xShapes2/parallelogram_angle_90_3x.png,166168,102616,1.6193186247758633
./Rhythm/3xShapes2/trapezium_angle_90_3x.png,188722,80564,2.3425103023683036
./Rhythm/3xShapes2/rectangle_angle_90_3x.png,304569,131975,2.3077779882553515
./Parth/1xShapes/trapezium_angle_90.png,19488,10243,1.9025676071463438
./Parth/1xShapes/parallelogram_angle_90.png,15472,14326,1.0799944157475918
./Parth/1xShapes/ellipse_angle_90.png,23875,22804,1.0469654446588317
./Parth/1xShapes/circle.png,17393,13706,1.269006274624252
./Parth/1xShapes/rectangle_angle_0.png,24318,23745,1.024131396083386
./Parth/1xShapes/rectangle_angle_90.png,24837,23034,1.0782755926022403
./Parth/1xShapes/trapezium_angle_0.png,17935,11658,1.5384285469205696
./Parth/1xShapes/ellipse_angle_0.png,23969,22728,1.0546022527279126
./Parth/1xShapes/parallelogram_angle_0.png,16325,13315,1.2260608336462635
./Parth/1xShapes/square.png,16799,15165,1.1077481041872734
./Parth/1xShapes2/trapezium_angle_90.png,16556,13165,1.2575769084694266
./Parth/1xShapes2/parallelogram_angle_90.png,15897,13726,1.1581669823692262
./Parth/1xShapes2/ellipse_angle_90.png,23500,23302,1.0084971247103254
./Parth/1xShapes2/circle.png,16443,14663,1.1213939848598513
./Parth/1xShapes2/rectangle_angle_0.png,24874,22983,1.0822782056302485
./Parth/1xShapes2/rectangle_angle_90.png,24326,23621,1.0298463231869945
./Parth/1xShapes2/trapezium_angle_0.png,13858,15921,1.1488670803867802
./Parth/1xShapes2/ellipse_angle_0.png,25409,21243,1.196111660311632
./Parth/1xShapes2/parallelogram_angle_0.png,15935,13835,1.1517889410914348
./Parth/1xShapes2/square.png,16761,15122,1.1083851342415025
./Prisha/1xShapes/trapezium_angle_90.png,9764,19729,2.0205858254813602
./Prisha/1xShapes/parallelogram_angle_90.png,14390,14968,1.0401667824878387
./Prisha/1xShapes/ellipse_angle_90.png,24827,21887,1.1343263124228995
./Prisha/1xShapes/circle.png,16745,14339,1.167794127902922
./Prisha/1xShapes/rectangle_angle_0.png,24760,23247,1.065083666709683
./Prisha/1xShapes/rectangle_angle_90.png,24402,23355,1.044829800899165
./Prisha/1xShapes/trapezium_angle_0.png,15202,14554,1.0445238422426824
./Prisha/1xShapes/ellipse_angle_0.png,23467,23270,1.0084658358401375
./Prisha/1xShapes/parallelogram_angle_0.png,15187,14177,1.071242152782676
./Prisha/1xShapes/square.png,16740,15663,1.068760773798123
./Prisha/1xShapes2/trapezium_angle_90.png,15601,14165,1.1013766325450054
./Prisha/1xShapes2/parallelogram_angle_90.png,15918,13690,1.1627465303140978
./Prisha/1xShapes2/ellipse_angle_90.png,24141,22798,1.0589086761996667
./Prisha/1xShapes2/circle.png,16215,14979,1.0825155217304225
./Prisha/1xShapes2/rectangle_angle_0.png,25518,22580,1.1301151461470327
./Prisha/1xShapes2/rectangle_angle_90.png,24123,24146,1.0009534469178791
./Prisha/1xShapes2/trapezium_angle_0.png,17122,12748,1.3431126451208033
